time,open,high,low,close,volume
2026-07-15 18:01:48.732,29707.75,29723.75,29698,29723.75,2161
2026-07-15 18:01:51.684,29723.75,29727.75,29711.75,29727.75,164
2026-07-15 18:02:02.324,29727.75,29731.75,29715.75,29731.75,324
2026-07-15 18:02:17.656,29731.75,29735.75,29719.75,29735.75,343
2026-07-15 18:02:22.924,29735.75,29740.25,29723.75,29739.75,255
2026-07-15 18:05:18.852,29739.75,29743.75,29727.75,29743.75,2329
2026-07-15 18:06:11.660,29743.75,29747.75,29731.75,29747.75,765
2026-07-15 18:20:06.980,29747.75,29749,29719.75,29719.75,6706
2026-07-15 18:23:42.596,29719.75,29731.75,29715.75,29715.75,1530
2026-07-15 18:23:45.560,29715.75,29727.75,29711.75,29711.75,109
2026-07-15 18:34:05.928,29711.75,29725,29707.75,29707.75,4499
2026-07-15 18:35:02.316,29707.75,29719.75,29703.75,29703.75,637
2026-07-15 18:36:16.784,29703.75,29715.75,29699.75,29699.75,1058
2026-07-15 18:36:17.808,29699.75,29711.75,29692.75,29695.75,436
2026-07-15 18:36:20.208,29695.75,29707.75,29690.75,29691.75,206
2026-07-15 18:42:06.176,29691.75,29703.75,29687.75,29687.75,2825
2026-07-15 18:44:56.816,29687.75,29699.75,29683.75,29683.75,1600
2026-07-15 18:52:25.296,29683.75,29700.25,29679.75,29679.75,4247
2026-07-15 18:54:07.696,29679.75,29707.75,29679.25,29707.75,1060
2026-07-15 18:54:08.700,29707.75,29725,29695.75,29711.75,767
2026-07-15 18:55:29.848,29711.75,29711.75,29683.75,29683.75,2308
2026-07-15 18:55:43.692,29683.75,29695.75,29679.75,29679.75,469
2026-07-15 18:56:45.452,29679.75,29707.75,29677.75,29707.75,1476
2026-07-15 18:56:56.988,29707.75,29711.75,29695.75,29711.75,695
2026-07-15 18:56:58.456,29711.75,29717,29699.75,29715.75,212
2026-07-15 18:56:59.508,29715.75,29719.75,29703.75,29719.75,113
2026-07-15 19:00:26.912,29719.75,29723.75,29707.75,29723.75,3260
2026-07-15 19:00:42.264,29723.75,29727.75,29711.75,29727.75,478
2026-07-15 19:12:14.616,29727.75,29731.75,29709.25,29731.75,5918
2026-07-15 19:12:49.680,29731.75,29735.75,29719.75,29735.75,645
2026-07-15 19:15:16.512,29735.75,29737,29707.75,29707.75,2016
2026-07-15 19:17:59.908,29707.75,29719.75,29703.75,29703.75,1877
2026-07-15 19:18:08.336,29703.75,29715.75,29699.75,29699.75,394
2026-07-15 19:18:09.532,29699.75,29711.75,29695.75,29695.75,178
2026-07-15 19:27:59.288,29695.75,29723.75,29695,29723.75,6652
2026-07-15 19:33:15.700,29723.75,29727.75,29711.75,29727.75,2082
2026-07-15 19:33:40.320,29727.75,29731.75,29715.75,29731.75,514
2026-07-15 19:41:01.072,29731.75,29733.5,29703.75,29703.75,3332
2026-07-15 19:49:12.524,29703.75,29728,29699.75,29699.75,5265
2026-07-15 19:49:13.776,29699.75,29711.75,29695.75,29695.75,127
2026-07-15 19:49:57.752,29695.75,29707.75,29691.75,29691.75,717
2026-07-15 19:50:31.012,29691.75,29703.75,29687.75,29687.75,662
2026-07-15 19:59:15.788,29687.75,29706.75,29683.75,29683.75,5107
2026-07-15 20:01:21.460,29683.75,29711.75,29682.25,29711.75,3206
2026-07-15 20:01:24.112,29711.75,29715.75,29699.75,29715.75,219
2026-07-15 20:01:26.444,29715.75,29719.75,29703.75,29719.75,217
2026-07-15 20:02:04.800,29719.75,29723.75,29707.75,29723.75,1132
2026-07-15 20:02:13.544,29723.75,29727.75,29711.75,29727.75,496
2026-07-15 20:02:41.992,29727.75,29733.25,29715.75,29731.75,1059
2026-07-15 20:02:44.892,29731.75,29735.75,29719.75,29735.75,190
2026-07-15 20:02:45.980,29735.75,29744,29723.75,29739.75,474
2026-07-15 20:02:47.316,29739.75,29743.75,29727.75,29743.75,112
2026-07-15 20:13:51.880,29743.75,29747.75,29719.75,29747.75,14340
2026-07-15 20:13:54.100,29747.75,29751.75,29735.75,29751.75,662
2026-07-15 20:14:48.056,29751.75,29755.75,29739.75,29755.75,1872
2026-07-15 20:15:02.984,29755.75,29759.75,29743.75,29759.75,677
2026-07-15 20:15:13.484,29759.75,29763.75,29747.75,29763.75,659
2026-07-15 20:16:00.008,29763.75,29765.25,29735.75,29735.75,1858
2026-07-15 20:16:08.260,29735.75,29747.75,29731.75,29731.75,430
2026-07-15 20:16:09.496,29731.75,29743.75,29726.25,29727.75,201
2026-07-15 20:16:20.748,29727.75,29739.75,29722.75,29723.75,589
2026-07-15 20:16:33.172,29723.75,29735.75,29719.75,29719.75,613
2026-07-15 20:16:34.580,29719.75,29731.75,29715.75,29715.75,158
2026-07-15 20:17:21.896,29715.75,29727.75,29711.75,29711.75,1388
2026-07-15 20:18:31.740,29711.75,29723.75,29707.75,29707.75,1500
2026-07-15 20:18:37.588,29707.75,29719.75,29703.75,29703.75,189
2026-07-15 20:19:42.772,29703.75,29715.75,29699.75,29699.75,1229
2026-07-15 20:19:47.200,29699.75,29711.75,29694.5,29695.75,358
2026-07-15 20:20:03.316,29695.75,29707.75,29691.75,29691.75,496
2026-07-15 20:20:09.196,29691.75,29703.75,29687.75,29687.75,576
2026-07-15 20:26:55.228,29687.75,29706,29683.75,29683.75,7987
2026-07-15 20:26:56.240,29683.75,29695.75,29670.25,29679.75,783
2026-07-15 20:27:02.248,29679.75,29691.75,29675,29675.75,490
2026-07-15 20:27:11.348,29675.75,29687.75,29671.75,29671.75,350
2026-07-15 20:27:13.680,29671.75,29683.75,29667.75,29667.75,210
2026-07-15 20:27:38.816,29667.75,29679.75,29663.75,29663.75,1035
2026-07-15 20:30:15.600,29663.75,29686.75,29659.75,29659.75,4339
2026-07-15 20:32:11.664,29659.75,29679.25,29655.75,29655.75,3811
2026-07-15 20:34:46.624,29655.75,29683.75,29653,29683.75,3433
2026-07-15 20:34:47.724,29683.75,29693,29671.75,29691.75,329
2026-07-15 20:34:58.640,29691.75,29695.75,29679.75,29695.75,555
2026-07-15 20:36:45.324,29695.75,29696.25,29667.75,29667.75,2374
2026-07-15 20:36:46.332,29667.75,29679.75,29663.75,29663.75,140
2026-07-15 20:37:51.768,29663.75,29675.75,29659.75,29659.75,1448
2026-07-15 20:38:55.288,29659.75,29671.75,29655.75,29655.75,824
2026-07-15 20:39:12.896,29655.75,29667.75,29651.75,29651.75,444
2026-07-15 20:40:19.208,29651.75,29663.75,29647.75,29647.75,1416
2026-07-15 20:40:29.044,29647.75,29659.75,29643.75,29643.75,340
2026-07-15 20:41:42.764,29643.75,29655.75,29639.75,29639.75,1598
2026-07-15 20:42:49.284,29639.75,29651.75,29635.75,29635.75,1070
2026-07-15 20:42:59.124,29635.75,29647.75,29631.75,29631.75,329
2026-07-15 20:43:11.748,29631.75,29643.75,29627.75,29627.75,571
2026-07-15 20:45:52.612,29627.75,29641.5,29623.75,29623.75,2938
2026-07-15 20:49:38.000,29623.75,29651.75,29622.25,29651.75,5023
2026-07-15 20:52:03.400,29651.75,29655.75,29628,29655.75,3155
2026-07-15 20:52:12.544,29655.75,29659.75,29643.75,29659.75,550
2026-07-15 20:52:30.292,29659.75,29663.75,29647.75,29663.75,566
2026-07-15 20:52:33.208,29663.75,29667.75,29651.75,29667.75,230
2026-07-15 20:52:34.576,29667.75,29671.75,29655.75,29671.75,137
2026-07-15 20:52:37.228,29671.75,29675.75,29659.75,29675.75,221
2026-07-15 20:55:09.588,29675.75,29679.75,29647.75,29647.75,3255
2026-07-15 20:55:12.224,29647.75,29659.75,29643.75,29643.75,104
2026-07-15 20:56:24.480,29643.75,29657.75,29639.75,29639.75,1402
2026-07-15 21:01:43.004,29639.75,29666.5,29635.75,29635.75,6793
2026-07-15 21:04:45.540,29635.75,29663.75,29632.5,29663.75,3435
2026-07-15 21:05:46.644,29663.75,29667.75,29651.75,29667.75,1151
2026-07-15 21:11:26.080,29667.75,29669,29639.75,29639.75,5439
2026-07-15 21:11:46.960,29639.75,29651.75,29635.75,29635.75,347
2026-07-15 21:12:02.504,29635.75,29647.75,29631.75,29631.75,277
2026-07-15 21:12:30.636,29631.75,29643.75,29627.75,29627.75,866
2026-07-15 21:12:51.780,29627.75,29639.75,29623.75,29623.75,449
2026-07-15 21:13:12.128,29623.75,29635.75,29619.75,29619.75,702
2026-07-15 21:13:31.124,29619.75,29631.75,29615.75,29615.75,494
2026-07-15 21:16:35.652,29615.75,29632.75,29611.75,29611.75,3819
2026-07-15 21:18:02.756,29611.75,29623.75,29607.75,29607.75,1719
2026-07-15 21:18:42.612,29607.75,29619.75,29603.75,29603.75,883
2026-07-15 21:30:18.816,29603.75,29629,29599.75,29599.75,10911
2026-07-15 21:34:06.804,29599.75,29618.5,29595.75,29595.75,4021
2026-07-15 21:36:06.520,29595.75,29623.75,29593.5,29623.75,2646
2026-07-15 21:36:12.392,29623.75,29627.75,29611.75,29627.75,316
2026-07-15 21:36:37.128,29627.75,29631.75,29615.75,29631.75,1052
2026-07-15 21:39:33.848,29631.75,29635.75,29615.75,29635.75,2904
2026-07-15 21:39:44.024,29635.75,29639.75,29623.75,29639.75,330
2026-07-15 21:40:33.020,29639.75,29643.75,29627.75,29643.75,935
2026-07-15 21:44:15.188,29643.75,29646.75,29615.75,29615.75,3458
2026-07-15 21:44:19.196,29615.75,29627.75,29611.75,29611.75,163
2026-07-15 21:44:25.692,29611.75,29623.75,29607.75,29607.75,169
2026-07-15 21:46:40.852,29607.75,29635.75,29607.75,29635.75,2038
2026-07-15 21:46:44.512,29635.75,29639.75,29623.75,29639.75,161
2026-07-15 21:46:57.972,29639.75,29643.75,29627.75,29643.75,333
2026-07-15 21:47:01.476,29643.75,29647.75,29631.75,29647.75,257
2026-07-15 21:47:27.896,29647.75,29651.75,29635.75,29651.75,949
2026-07-15 21:48:11.304,29651.75,29655.75,29639.75,29655.75,898
2026-07-15 21:48:51.856,29655.75,29659.75,29643.75,29659.75,705
2026-07-15 21:49:02.104,29659.75,29663.75,29647.75,29663.75,450
2026-07-15 21:49:05.656,29663.75,29667.75,29651.75,29667.75,195
2026-07-15 21:49:33.812,29667.75,29671.75,29655.75,29671.75,1087
2026-07-15 21:49:51.620,29671.75,29675.75,29659.75,29675.75,431
2026-07-15 21:50:12.824,29675.75,29679.75,29663.75,29679.75,897
2026-07-15 21:55:53.756,29679.75,29683.75,29656,29683.75,6252
2026-07-15 21:57:59.164,29683.75,29686.5,29655.75,29655.75,2883
2026-07-15 21:58:04.768,29655.75,29667.75,29651.75,29651.75,169
2026-07-15 21:58:22.732,29651.75,29663.75,29647.75,29647.75,424
2026-07-15 21:59:00.248,29647.75,29659.75,29643.75,29643.75,823
2026-07-15 22:01:25.804,29643.75,29655.75,29639.75,29639.75,2200
2026-07-15 22:01:39.080,29639.75,29651.75,29635.75,29635.75,261
2026-07-15 22:02:01.520,29635.75,29647.75,29631.75,29631.75,572
2026-07-15 22:02:13.372,29631.75,29643.75,29627.75,29627.75,363
2026-07-15 22:03:35.028,29627.75,29639.75,29623.75,29623.75,1229
2026-07-15 22:17:56.992,29623.75,29651.75,29620,29651.75,11262
2026-07-15 22:18:05.964,29651.75,29655.75,29639.75,29655.75,366
2026-07-15 22:18:11.336,29655.75,29659.75,29643.75,29659.75,267
2026-07-15 22:18:29.480,29659.75,29663.75,29647.75,29663.75,577
2026-07-15 22:19:48.980,29663.75,29667.75,29651.75,29667.75,1185
2026-07-15 22:22:28.364,29667.75,29671.75,29655.75,29671.75,1879
2026-07-15 22:22:31.380,29671.75,29675.75,29659.75,29675.75,138
2026-07-15 22:23:04.268,29675.75,29679.75,29663.75,29679.75,530
2026-07-15 22:23:31.860,29679.75,29683.75,29667.75,29683.75,406
2026-07-15 22:23:41.324,29683.75,29687.75,29671.75,29687.75,269
2026-07-15 22:24:21.788,29687.75,29691.75,29675.75,29691.75,981
2026-07-15 22:24:56.528,29691.75,29695.75,29679.75,29695.75,743
2026-07-15 22:26:27.892,29695.75,29699.75,29683.75,29699.75,1443
